url,zip_code,locality,price,type_transaction,subtype_transaction,type_of_property,subtype_of_property,energy_class,heating_type,construction_year,number_of_frontages,surface_land,surface_livable_space,number_floors,building_condition,surroundings_type,furnished,nb_of_rooms,rooms_living_room,rooms_dining_room,rooms_kitchen_type_installed,rooms_kitchen_type_kitchen_surface,rooms_bedrooms_number,rooms_bedrooms_surface,rooms_bathrooms_number,rooms_toilets_number,rooms_laundry_room,rooms_office_presence,rooms_office_surface,rooms_basement_presence,rooms_basement_surface,rooms_attic,extras_open_fire,exterior_terrace_presence,exterior_terrace_surface,exterior_terrace_orientation,exterior_garden_presence,exterior_garden_surface,exterior_garden_orientation,exterior_swimming_pool
https://www.immoweb.be/en/classified/house/for-rent/knokke-heist/8300/11410186,8300,Knokke-Heist,925.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,C,Gas,,,150,146,,Good,,False,9,,,Installed,,3,[],1,2,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/ramillies/1367/11432857,1367,Ramillies,1250.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,C,Fuel oil,1989,4,800,,1,Good,Countryside,False,10,32,,Hyper equipped,15,3,"['12', '28', '11']",1,2,False,True,15,True,90,False,False,True,35,,True,200,,False
https://www.immoweb.be/en/classified/apartment/for-rent/gerpinnes/6280/11479380,6280,Gerpinnes,880.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,Not specified,Gas,,4,,120,1,As new,,False,8,,True,Hyper equipped,,2,[],1,1,False,False,,True,,False,False,False,,,False,,,No
https://www.immoweb.be/en/classified/duplex/for-rent/wavre/1300/11461073,1300,WAVRE,700.0,FOR_RENT,RENT_REGULAR,APARTMENT,DUPLEX,B,Gas,,3,,75,1,Good,,False,7,22,,Installed,,1,[],1,1,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/apartment/for-rent/knokke-heist/8300/11435578,8300,Knokke-Heist,1425.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,Not specified,,,,,90,,,Fitted out,False,9,,True,False,,2,[],2,,False,False,,False,,False,False,True,,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/zomergem/9930/11408818,9930,Zomergem,1200.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,A+,,2017,4,,278,3,Good,Fitted out,False,12,45,,False,19,5,[],,2,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/knokke-heist/8300/11277057,8300,Knokke-Heist,3500.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,Not specified,,2023,4,258,165,,As new,Fitted out,False,11,,,False,,3,[],3,2,False,True,,False,,False,False,True,,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/koksijde/8670/11436306,8670,Koksijde,825.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,B,,,4,,78,,As new,Fitted out,False,7,,,False,,2,[],1,1,False,False,,False,,False,False,False,,,False,,,False
https://www.immoweb.be/en/classified/house/for-rent/attert/6717/11447554,6717,Attert,1250.0,FOR_RENT,RENT_REGULAR,HOUSE,HOUSE,C,Fuel oil,1980,3,450,160,,Just renovated,Landscape,True,11,22,True,Installed,25,2,"['24', '24']",1,2,True,True,24,True,30,False,True,False,75,,False,,,No
https://www.immoweb.be/en/classified/apartment/for-rent/aalst/9300/11460229,9300,Aalst,945.0,FOR_RENT,RENT_REGULAR,APARTMENT,APARTMENT,A+,Gas,,4,,108,2,As new,Urban,False,7,,,USA semi equipped,,2,[],1,1,False,False,,False,,False,False,False,8,,False,,,No
